iso2,iso3,country,index,index_name,year,rank
DE,DEU,Germany,EIS,European Innovation Scoreboard,2023-01-01,13
DK,DNK,Denmark,EIS,European Innovation Scoreboard,2023-01-01,2
EE,EST,Estonia,EIS,European Innovation Scoreboard,2023-01-01,20
GR,GRC,Greece,EIS,European Innovation Scoreboard,2023-01-01,30
ES,ESP,Spain,EIS,European Innovation Scoreboard,2023-01-01,24
FI,FIN,Finland,EIS,European Innovation Scoreboard,2023-01-01,5
FR,FRA,France,EIS,European Innovation Scoreboard,2023-01-01,19
HR,HRV,Croatia,EIS,European Innovation Scoreboard,2023-01-01,31
HU,HUN,Hungary,EIS,European Innovation Scoreboard,2023-01-01,32
IE,IRL,Ireland,EIS,European Innovation Scoreboard,2023-01-01,12
IT,ITA,Italy,EIS,European Innovation Scoreboard,2023-01-01,25
LT,LTU,Lithuania,EIS,European Innovation Scoreboard,2023-01-01,29
LU,LUX,Luxembourg,EIS,European Innovation Scoreboard,2023-01-01,15
LV,LVA,Latvia,EIS,European Innovation Scoreboard,2023-01-01,36
MT,MLT,Malta,EIS,European Innovation Scoreboard,2023-01-01,28
NL,NLD,Netherlands,EIS,European Innovation Scoreboard,2023-01-01,4
PL,POL,Poland,EIS,European Innovation Scoreboard,2023-01-01,33
PT,PRT,Portugal,EIS,European Innovation Scoreboard,2023-01-01,26
RO,ROU,Romania,EIS,European Innovation Scoreboard,2023-01-01,46
SE,SWE,Sweden,EIS,European Innovation Scoreboard,2023-01-01,3
SI,SVN,Slovenia,EIS,European Innovation Scoreboard,2023-01-01,23
SK,SVK,Slovak Republic,EIS,European Innovation Scoreboard,2023-01-01,34
AL,ALB,Albania,EIS,European Innovation Scoreboard,2023-01-01,44
BA,BIH,Bosnia & Herzegovina,EIS,European Innovation Scoreboard,2023-01-01,49
CH,CHE,Switzerland,EIS,European Innovation Scoreboard,2023-01-01,1
IS,ISL,Iceland,EIS,European Innovation Scoreboard,2023-01-01,17
MD,MDA,Moldova,EIS,European Innovation Scoreboard,2023-01-01,50
ME,MNE,Montenegro,EIS,European Innovation Scoreboard,2023-01-01,41
MK,MKD,North Macedonia,EIS,European Innovation Scoreboard,2023-01-01,42
NO,NOR,Norway,EIS,European Innovation Scoreboard,2023-01-01,9
RS,SRB,Serbia,EIS,European Innovation Scoreboard,2023-01-01,38
TR,TUR,Türkiye,EIS,European Innovation Scoreboard,2023-01-01,35
UA,UKR,Ukraine,EIS,European Innovation Scoreboard,2023-01-01,47
GB,GBR,United Kingdom,EIS,European Innovation Scoreboard,2023-01-01,7
AT,AUT,Austria,EIS,European Innovation Scoreboard,2024-01-01,12
BE,BEL,Belgium,EIS,European Innovation Scoreboard,2024-01-01,8
BG,BGR,Bulgaria,EIS,European Innovation Scoreboard,2024-01-01,39
CY,CYP,Cyprus,EIS,European Innovation Scoreboard,2024-01-01,22
CZ,CZE,Czechia,EIS,European Innovation Scoreboard,2024-01-01,28
DE,DEU,Germany,EIS,European Innovation Scoreboard,2024-01-01,14
DK,DNK,Denmark,EIS,European Innovation Scoreboard,2024-01-01,2
EE,EST,Estonia,EIS,European Innovation Scoreboard,2024-01-01,20
GR,GRC,Greece,EIS,European Innovation Scoreboard,2024-01-01,30
ES,ESP,Spain,EIS,European Innovation Scoreboard,2024-01-01,24
FI,FIN,Finland,EIS,European Innovation Scoreboard,2024-01-01,6
FR,FRA,France,EIS,European Innovation Scoreboard,2024-01-01,19
HR,HRV,Croatia,EIS,European Innovation Scoreboard,2024-01-01,31
HU,HUN,Hungary,EIS,European Innovation Scoreboard,2024-01-01,32
IE,IRL,Ireland,EIS,European Innovation Scoreboard,2024-01-01,10
IT,ITA,Italy,EIS,European Innovation Scoreboard,2024-01-01,25
LT,LTU,Lithuania,EIS,European Innovation Scoreboard,2024-01-01,29
LU,LUX,Luxembourg,EIS,European Innovation Scoreboard,2024-01-01,17
LV,LVA,Latvia,EIS,European Innovation Scoreboard,2024-01-01,36
MT,MLT,Malta,EIS,European Innovation Scoreboard,2024-01-01,26
NL,NLD,Netherlands,EIS,European Innovation Scoreboard,2024-01-01,4
PL,POL,Poland,EIS,European Innovation Scoreboard,2024-01-01,33
PT,PRT,Portugal,EIS,European Innovation Scoreboard,2024-01-01,27
RO,ROU,Romania,EIS,European Innovation Scoreboard,2024-01-01,44
SE,SWE,Sweden,EIS,European Innovation Scoreboard,2024-01-01,3
SI,SVN,Slovenia,EIS,European Innovation Scoreboard,2024-01-01,23
SK,SVK,Slovak Republic,EIS,European Innovation Scoreboard,2024-01-01,34
AL,ALB,Albania,EIS,European Innovation Scoreboard,2024-01-01,45
BA,BIH,Bosnia & Herzegovina,EIS,European Innovation Scoreboard,2024-01-01,49
CH,CHE,Switzerland,EIS,European Innovation Scoreboard,2024-01-01,1
IS,ISL,Iceland,EIS,European Innovation Scoreboard,2024-01-01,15
MD,MDA,Moldova,EIS,European Innovation Scoreboard,2024-01-01,50
ME,MNE,Montenegro,EIS,European Innovation Scoreboard,2024-01-01,41
MK,MKD,North Macedonia,EIS,European Innovation Scoreboard,2024-01-01,42
NO,NOR,Norway,EIS,European Innovation Scoreboard,2024-01-01,9
RS,SRB,Serbia,EIS,European Innovation Scoreboard,2024-01-01,38
TR,TUR,Türkiye,EIS,European Innovation Scoreboard,2024-01-01,35
UA,UKR,Ukraine,EIS,European Innovation Scoreboard,2024-01-01,47
GB,GBR,United Kingdom,EIS,European Innovation Scoreboard,2024-01-01,7
AT,AUT,Austria,EIS,European Innovation Scoreboard,2025-01-01,14
BE,BEL,Belgium,EIS,European Innovation Scoreboard,2025-01-01,9
BG,BGR,Bulgaria,EIS,European Innovation Scoreboard,2025-01-01,40
CY,CYP,Cyprus,EIS,European Innovation Scoreboard,2025-01-01,27
CZ,CZE,Czechia,EIS,European Innovation Scoreboard,2025-01-01,29
DE,DEU,Germany,EIS,European Innovation Scoreboard,2025-01-01,17
DK,DNK,Denmark,EIS,European Innovation Scoreboard,2025-01-01,4
EE,EST,Estonia,EIS,European Innovation Scoreboard,2025-01-01,20
GR,GRC,Greece,EIS,European Innovation Scoreboard,2025-01-01,30
ES,ESP,Spain,EIS,European Innovation Scoreboard,2025-01-01,25
FI,FIN,Finland,EIS,European Innovation Scoreboard,2025-01-01,7
FR,FRA,France,EIS,European Innovation Scoreboard,2025-01-01,19
HR,HRV,Croatia,EIS,European Innovation Scoreboard,2025-01-01,31
HU,HUN,Hungary,EIS,European Innovation Scoreboard,2025-01-01,32
IE,IRL,Ireland,EIS,European Innovation Scoreboard,2025-01-01,8
IT,ITA,Italy,EIS,European Innovation Scoreboard,2025-01-01,24
LT,LTU,Lithuania,EIS,European Innovation Scoreboard,2025-01-01,28
LU,LUX,Luxembourg,EIS,European Innovation Scoreboard,2025-01-01,13
LV,LVA,Latvia,EIS,European Innovation Scoreboard,2025-01-01,36
MT,MLT,Malta,EIS,European Innovation Scoreboard,2025-01-01,22
NL,NLD,Netherlands,EIS,European Innovation Scoreboard,2025-01-01,5
PL,POL,Poland,EIS,European Innovation Scoreboard,2025-01-01,33
PT,PRT,Portugal,EIS,European Innovation Scoreboard,2025-01-01,26
RO,ROU,Romania,EIS,European Innovation Scoreboard,2025-01-01,45
SE,SWE,Sweden,EIS,European Innovation Scoreboard,2025-01-01,2
SI,SVN,Slovenia,EIS,European Innovation Scoreboard,2025-01-01,23
SK,SVK,Slovak Republic,EIS,European Innovation Scoreboard,2025-01-01,34
AL,ALB,Albania,EIS,European Innovation Scoreboard,2025-01-01,44
BA,BIH,Bosnia & Herzegovina,EIS,European Innovation Scoreboard,2025-01-01,49
CH,CHE,Switzerland,EIS,European Innovation Scoreboard,2025-01-01,1
IS,ISL,Iceland,EIS,European Innovation Scoreboard,2025-01-01,16
MD,MDA,Moldova,EIS,European Innovation Scoreboard,2025-01-01,50
ME,MNE,Montenegro,EIS,European Innovation Scoreboard,2025-01-01,41
MK,MKD,North Macedonia,EIS,European Innovation Scoreboard,2025-01-01,42
NO,NOR,Norway,EIS,European Innovation Scoreboard,2025-01-01,10
RS,SRB,Serbia,EIS,European Innovation Scoreboard,2025-01-01,38
TR,TUR,Türkiye,EIS,European Innovation Scoreboard,2025-01-01,35
UA,UKR,Ukraine,EIS,European Innovation Scoreboard,2025-01-01,47
GB,GBR,United Kingdom,EIS,European Innovation Scoreboard,2025-01-01,6
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2018-01-01,8
CA,CAN,Canada,EIS,European Innovation Scoreboard,2018-01-01,13
AU,AUS,Australia,EIS,European Innovation Scoreboard,2018-01-01,17
US,USA,United States,EIS,European Innovation Scoreboard,2018-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2018-01-01,19
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2018-01-01,25
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2018-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2018-01-01,41
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2018-01-01,45
CL,CHL,Chile,EIS,European Innovation Scoreboard,2018-01-01,46
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2018-01-01,47
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2019-01-01,11
CA,CAN,Canada,EIS,European Innovation Scoreboard,2019-01-01,13
AU,AUS,Australia,EIS,European Innovation Scoreboard,2019-01-01,17
US,USA,United States,EIS,European Innovation Scoreboard,2019-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2019-01-01,19
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2019-01-01,23
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2019-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2019-01-01,41
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2019-01-01,46
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2019-01-01,47
CL,CHL,Chile,EIS,European Innovation Scoreboard,2019-01-01,48
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2020-01-01,7
CA,CAN,Canada,EIS,European Innovation Scoreboard,2020-01-01,13
AU,AUS,Australia,EIS,European Innovation Scoreboard,2020-01-01,17
US,USA,United States,EIS,European Innovation Scoreboard,2020-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2020-01-01,19
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2020-01-01,20
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2020-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2020-01-01,40
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2020-01-01,45
CL,CHL,Chile,EIS,European Innovation Scoreboard,2020-01-01,47
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2020-01-01,48
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2021-01-01,7
US,USA,United States,EIS,European Innovation Scoreboard,2021-01-01,12
CA,CAN,Canada,EIS,European Innovation Scoreboard,2021-01-01,13
AU,AUS,Australia,EIS,European Innovation Scoreboard,2021-01-01,17
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2021-01-01,20
JP,JPN,Japan,EIS,European Innovation Scoreboard,2021-01-01,21
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2021-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2021-01-01,40
CL,CHL,Chile,EIS,European Innovation Scoreboard,2021-01-01,45
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2021-01-01,47
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2021-01-01,48
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2022-01-01,4
CA,CAN,Canada,EIS,European Innovation Scoreboard,2022-01-01,10
US,USA,United States,EIS,European Innovation Scoreboard,2022-01-01,11
AU,AUS,Australia,EIS,European Innovation Scoreboard,2022-01-01,16
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2022-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2022-01-01,21
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2022-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2022-01-01,39
CL,CHL,Chile,EIS,European Innovation Scoreboard,2022-01-01,43
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2022-01-01,46
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2022-01-01,48
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2023-01-01,6
CA,CAN,Canada,EIS,European Innovation Scoreboard,2023-01-01,10
US,USA,United States,EIS,European Innovation Scoreboard,2023-01-01,14
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2023-01-01,16
AU,AUS,Australia,EIS,European Innovation Scoreboard,2023-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2023-01-01,22
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2023-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2023-01-01,40
CL,CHL,Chile,EIS,European Innovation Scoreboard,2023-01-01,43
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2023-01-01,45
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2023-01-01,48
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2024-01-01,5
CA,CAN,Canada,EIS,European Innovation Scoreboard,2024-01-01,11
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2024-01-01,13
US,USA,United States,EIS,European Innovation Scoreboard,2024-01-01,16
AU,AUS,Australia,EIS,European Innovation Scoreboard,2024-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2024-01-01,21
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2024-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2024-01-01,40
CL,CHL,Chile,EIS,European Innovation Scoreboard,2024-01-01,43
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2024-01-01,46
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2024-01-01,48
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2025-01-01,3
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2025-01-01,11
CA,CAN,Canada,EIS,European Innovation Scoreboard,2025-01-01,12
US,USA,United States,EIS,European Innovation Scoreboard,2025-01-01,15
AU,AUS,Australia,EIS,European Innovation Scoreboard,2025-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2025-01-01,21
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2025-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2025-01-01,39
CL,CHL,Chile,EIS,European Innovation Scoreboard,2025-01-01,43
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2025-01-01,46
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2025-01-01,48
